2018-09-05T19:29:45+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ffffff; $fw-header-sticky-menu-item-hover-color-lvl1: #0975c0; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-09-05T19:30:42+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ffffff; $fw-header-sticky-menu-item-hover-color-lvl1: #ff8b00; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-09-05T19:31:32+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ffffff; $fw-header-sticky-menu-item-hover-color-lvl1: #ff8b00; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-09-05T19:32:53+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ffffff; $fw-header-sticky-menu-item-hover-color-lvl1: #ff8b00; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-09-05T19:35:11+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ffffff; $fw-header-sticky-menu-item-hover-color-lvl1: #ff8b00; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-09-05T19:41:50+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ffffff; $fw-header-sticky-menu-item-hover-color-lvl1: #ff8b00; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-
